Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Month,Season,Day
4.0,Cirurgia,Urgncia Central,33.95161290322581,0.0967741935483871,1,1,winter,
4.0,Medicina,Urgncia Central,9.0,0.058394160583941604,1,1,winter,23.0
4.0,Medicina,Urgncia Central,11.533333333333333,0.3,2,1,winter,24.0
4.0,Cirurgia,Urgncia Central,17.0,0.04878048780487805,2,1,winter,
4.0,Cirurgia,Urgncia Central,40.306451612903224,0.1774193548387097,3,1,winter,
4.0,Medicina,Urgncia Central,29.474137931034484,0.4224137931034483,3,1,winter,25.0
4.0,Cirurgia,Urgncia Central,26.666666666666668,0.0,4,1,winter,
4.0,Medicina,Urgncia Central,10.728813559322035,0.17796610169491525,4,1,winter,26.0
4.0,Cirurgia,Urgncia Central,21.0,0.0,5,1,winter,
4.0,Medicina,Urgncia Central,12.011363636363637,0.19318181818181818,5,1,winter,27.0
4.0,Medicina,Urgncia Central,12.435643564356436,0.297029702970297,6,1,winter,28.0
4.0,Cirurgia,Urgncia Central,10.78688524590164,0.0,6,1,winter,
4.0,Cirurgia,Urgncia Central,23.07843137254902,0.0784313725490196,0,1,winter,
4.0,Medicina,Urgncia Central,9.061538461538461,0.2076923076923077,0,1,winter,29.0
4.0,Cirurgia,Urgncia Central,36.75,0.1,1,1,winter,
4.0,Medicina,Urgncia Central,13.276923076923078,0.3076923076923077,1,1,winter,30.0
4.0,Medicina,Urgncia Central,7.6,0.09230769230769231,2,1,winter,31.0
4.0,Cirurgia,Urgncia Central,25.09375,0.0625,2,1,winter,
4.0,Cirurgia,Urgncia Central,32.73913043478261,0.13043478260869565,3,2,winter,
4.0,Medicina,Urgncia Central,12.03076923076923,0.2076923076923077,3,2,winter,1.0
4.0,Medicina,Urgncia Central,10.739837398373984,0.3170731707317073,4,2,winter,2.0
4.0,Cirurgia,Urgncia Central,50.31818181818182,0.26136363636363635,4,2,winter,
4.0,Cirurgia,Urgncia Central,14.18840579710145,0.0,5,2,winter,
4.0,Medicina,Urgncia Central,14.853658536585366,0.22764227642276422,5,2,winter,3.0
4.0,Cirurgia,Urgncia Central,35.976470588235294,0.17647058823529413,6,2,winter,
4.0,Medicina,Urgncia Central,12.459259259259259,0.13333333333333333,6,2,winter,4.0
4.0,Cirurgia,Urgncia Central,33.507936507936506,0.2857142857142857,0,2,winter,
4.0,Medicina,Urgncia Central,8.088888888888889,0.2074074074074074,0,2,winter,5.0
4.0,Cirurgia,Urgncia Central,23.905405405405407,0.21621621621621623,1,2,winter,
4.0,Medicina,Urgncia Central,15.10958904109589,0.2328767123287671,1,2,winter,6.0
4.0,Cirurgia,Urgncia Central,76.88157894736842,0.32894736842105265,2,2,winter,
4.0,Medicina,Urgncia Central,7.636363636363637,0.11363636363636363,2,2,winter,7.0
4.0,Cirurgia,Urgncia Central,55.0,0.15714285714285714,3,2,winter,
4.0,Medicina,Urgncia Central,10.603053435114504,0.15267175572519084,3,2,winter,8.0
4.0,Cirurgia,Urgncia Central,28.535714285714285,0.08928571428571429,4,2,winter,
